,riq,abund,shan
HORTA,9,448,0,8364
HORTA,13,170,1,346
HORTA,13,234,1,385
HORTA,15,278,1,335
HORTA,11,134,1,566
HORTA,11,56,1,761
HORTA,8,90,1,176
HORTA,9,30,1,66
HORTA,8,66,1,442
HORTA,8,20,1,61
HORTA,6,44,1,298
HORTA,11,54,1,741
MATA,16,150,1,893
MATA,15,140,1,86
MATA,13,156,1,728
MATA,14,124,1,815
MATA,13,92,1,787
MATA,15,90,1,841
MATA,14,118,1,841
MATA,13,140,1,688
MATA,15,256,1,715
MATA,12,58,1,755
MATA,13,168,1,801
MATA,9,36,1,631
PASTO,9,66,1,418
PASTO,6,28,1,257
PASTO,4,36,1,16
PASTO,9,56,1,311
PASTO,6,14,1,468
PASTO,2,2,0,6931
PASTO,6,44,1,056
PASTO,8,28,1,577
PASTO,6,40,1,24
PASTO,4,30,0,9357
PASTO,6,20,1,472
PASTO,2,2,0,6931
